CREATIVE METAL INDUSTRIES - CLEANED KEYWORD LIST
Source: Google Search Console 'Performance on Search' export (last 3 months, to 2026-09-01)
Format per line:  keyword  |  impressions  |  avg position
Maintained by: Himanshu Sharma

NOTE: This file = keywords that ALREADY brought impressions to the site (cleaned
of off-topic/competitor/junk queries). For the FULL set of real-world search
terms people type for these products (grade synonyms like UNS/EN/ASTM, comparison
queries, 'metal/steel' variants, price/supplier intent) - researched from the
live web - see EXPANDED_KEYWORDS_LIST.txt.

RELEVANT KEYWORDS (aligned to real site pages): 476
OFF-TOPIC / EXCLUDED KEYWORDS: 32
======================================================================

### Brand / Company  (6 keywords)
    Target page(s): / (home) + /about
    creative metal industries  |  146  |  3.74
    creative metals  |  3  |  15.67
    creative metal products  |  2  |  41.5
    creative metal  |  1  |  7.0
    creative metal india  |  1  |  61.0
    creative metal fabrication  |  1  |  95.0

### IBR Certification  (44 keywords)
    Target page(s): /blog/ibr-certification-guide, /blog/what-is-ibr-certification, /blog/ibr-form-iiic-complete-guide, /blog/why-ibr-certification-mandatory
    ibr certification  |  74  |  13.38
    ibr certificate  |  31  |  16.55
    ibr approval  |  22  |  22.64
    ibr form iii-c  |  18  |  10.06
    ibr full form  |  18  |  35.28
    ibr  |  15  |  25.0
    ibr regulations  |  11  |  43.64
    technical features of ibr  |  10  |  31.3
    when ibr certification is required  |  9  |  9.89
    ibr form iii c  |  8  |  10.12
    what is ibr certification  |  8  |  12.88
    ibr inspection  |  6  |  18.0
    ibr certified  |  4  |  9.0
    ibr india  |  4  |  25.25
    ibr full form in boiler  |  4  |  42.0
    ibr welder full form  |  4  |  67.75
    ibr certificate full form  |  3  |  4.67
    what is ibr  |  3  |  19.0
    full form of ibr  |  3  |  20.0
    use of ibr  |  3  |  38.33
    ibr regulation  |  2  |  19.0
    ibr piping  |  2  |  21.5
    ibr material  |  2  |  24.0
    ibr test certificate  |  2  |  26.5
    ibr boiler full form  |  2  |  34.0
    how to become ibr inspector  |  2  |  42.0
    ibr boiler definition  |  2  |  48.5
    ibr indian boiler regulation  |  2  |  52.5
    ibr welder qualification  |  2  |  86.5
    ibr company  |  2  |  90.5
    what is ibr certificate  |  1  |  1.0
    ibr license  |  1  |  11.0
    ibr exam  |  1  |  13.0
    ibr certification requirements  |  1  |  14.0
    ibr standards  |  1  |  21.0
    ibr rating  |  1  |  27.0
    ibr act  |  1  |  29.0
    boiler definition as per ibr  |  1  |  35.0
    indian boiler regulations (ibr)  |  1  |  53.0
    what is ibr boiler  |  1  |  53.0
    ibr standard  |  1  |  68.0
    ibr specification  |  1  |  79.0
    boiler ibr  |  1  |  88.0
    ibr study  |  1  |  90.0

### SS 304 / 304L  (73 keywords)
    Target page(s): /ss-304-316l-pipe-supplier-india, /blog/ss-304-stainless-steel-guide, /blog/ss-304-vs-ss-304l
    321 vs 304 stainless  |  18  |  59.83
    ss 304  |  14  |  79.21
    304 stainless steel  |  10  |  84.6
    304 vs 316l  |  9  |  84.56
    304 vs 321 stainless steel  |  8  |  77.38
    ss304 stainless steel  |  7  |  64.57
    321 ss vs 304 ss  |  6  |  68.0
    ss 321 vs ss 304  |  6  |  76.0
    ss321 vs ss304  |  4  |  27.5
    stainless steel 321 vs 304  |  4  |  63.0
    ss304 stainless steel properties  |  4  |  63.25
    321 stainless steel vs 304  |  4  |  70.5
    ss304  |  4  |  77.25
    316l stainless steel vs 304  |  4  |  87.0
    ss304 material  |  3  |  56.0
    stainless steel 304  |  3  |  77.67
    304 stainless steel material properties  |  3  |  87.0
    ss 304 vs ss 321  |  2  |  37.5
    321 vs 304 stainless steel  |  2  |  54.0
    ss 321 vs ss 304 price  |  2  |  60.0
    ss 321 vs ss 304 chemical composition  |  2  |  67.5
    304 ss temperature rating  |  2  |  77.0
    304 vs 321 stainless  |  2  |  77.5
    ss 304 properties  |  2  |  77.5
    ss 304 material properties  |  2  |  79.0
    stainless steel 304 properties  |  2  |  80.5
    304 ss density  |  2  |  81.5
    316l vs 304  |  2  |  88.0
    stainless steel grades 304  |  2  |  88.5
    304 stainless steel properties  |  2  |  92.5
    ss304 density  |  1  |  2.0
    steel 304 grade  |  1  |  18.0
    chemical composition ss304  |  1  |  54.0
    ss304 properties  |  1  |  59.0
    stainless steel ss 304  |  1  |  62.0
    stainless steel grade 304  |  1  |  67.0
    maximum allowable stress for stainless steel 304  |  1  |  70.0
    304 vs 321  |  1  |  73.0
    ss 304 specification  |  1  |  73.0
    ss 304 steel  |  1  |  73.0
    304 ss properties  |  1  |  76.0
    ss 304 grade  |  1  |  76.0
    304 ss material  |  1  |  77.0
    304 stainless steel specifications  |  1  |  79.0
    304ss material properties  |  1  |  82.0
    what is the difference between 304 and 321 stainless steel  |  1  |  82.0
    304 stainless steel grades  |  1  |  83.0
    ss304 yield strength  |  1  |  83.0
    ss density 304  |  1  |  84.0
    304 steel  |  1  |  85.0
    304 vs 304l difference  |  1  |  85.0
    304 ss composition  |  1  |  86.0
    304 stainless steel composition  |  1  |  86.0
    a182 f304 material  |  1  |  86.0
    density of ss304  |  1  |  86.0
    grades of stainless steel 304  |  1  |  86.0
    304 vs 316l stainless steel  |  1  |  87.0
    material stainless steel 304  |  1  |  87.0
    ss 304 material  |  1  |  87.0
    stainless steel 316l vs 304  |  1  |  87.0
    304 stainless steel plate sizes factory  |  1  |  88.0
    ss 304 chemical composition  |  1  |  89.0
    stainless steel density 304  |  1  |  89.0
    steel grade 304  |  1  |  89.0
    ss 304 material specification  |  1  |  90.0
    ss 304 sheet thickness chart  |  1  |  90.0
    what is type 304 stainless steel  |  1  |  90.0
    304 stainless steel material  |  1  |  91.0
    304 stainless steel plate sizes manufacturer  |  1  |  93.0
    ss 304 material composition  |  1  |  94.0
    ss 304 grade chemical composition  |  1  |  95.0
    high strength 304 hss  |  1  |  98.0
    what is the difference between 304 and 304l stainless steel  |  1  |  100.0

### SS 316 / 316L  (16 keywords)
    Target page(s): /ss-304-316l-pipe-supplier-india, /blog/ss-316l-stainless-steel-guide, /blog/ss-316-vs-ss-316l
    316l  |  5  |  83.8
    ss316l  |  4  |  51.75
    316l stainless steel properties  |  3  |  79.33
    material 316l  |  3  |  84.0
    316l properties  |  2  |  68.5
    316l specification  |  1  |  72.0
    stainless steel 316l properties  |  1  |  80.0
    type 316l  |  1  |  82.0
    grade 316l  |  1  |  84.0
    ss316 l  |  1  |  85.0
    stainless steel grade 316l  |  1  |  85.0
    316l stainless steel specifications  |  1  |  86.0
    aisi 316l properties  |  1  |  86.0
    ss 316l means  |  1  |  88.0
    316l corrosion resistance  |  1  |  89.0
    ss 316l chemical composition  |  1  |  92.0

### SS 321 / 321H  (11 keywords)
    Target page(s): /ss-321-pipe-supplier-india, /ss-321h-tube-supplier-india, /blog/ss-304-vs-321-guide, /blog/when-to-use-ss-321-vs-304
    stainless steel 321 grade  |  10  |  89.4
    321ss  |  7  |  83.86
    ss321  |  5  |  76.8
    321 stainless steel  |  5  |  97.4
    ss 321 stainless steel  |  3  |  89.0
    stainless steel 321  |  3  |  95.67
    ss 321  |  2  |  79.0
    321 stainless steel special washers  |  1  |  80.0
    ss 321 equivalent material  |  1  |  84.0
    ss 321 material  |  1  |  90.0
    321 stainless steel rolling  |  1  |  98.0

### Duplex 2205 / Super Duplex 2507  (32 keywords)
    Target page(s): /duplex-2205-*-supplier-india, /super-duplex-2507-*-supplier, /blog/duplex-2205-steel-guide, /blog/super-duplex-2507-guide, /blog/duplex-vs-super-duplex
    duplex 2205  |  7  |  79.86
    2205 duplex  |  7  |  83.43
    duplex stainless steel 2205  |  7  |  86.29
    2205 duplex stainless steel  |  7  |  93.86
    25 chrome duplex  |  5  |  17.0
    super duplex 2205  |  4  |  27.5
    duplex vs super duplex  |  3  |  30.67
    super duplex pren  |  3  |  31.67
    super duplex 2507  |  3  |  70.67
    2205 duplex reactor  |  3  |  75.67
    duplex 2205 stainless steel  |  3  |  91.0
    super duplex  |  2  |  52.0
    duplex ss 2205  |  2  |  80.5
    2205 stainless steel industrial uses  |  2  |  84.0
    2205 vs 2507 duplex  |  1  |  10.0
    super duplex vs duplex  |  1  |  13.0
    superduplex 2507  |  1  |  15.0
    duplex 2205 microstructure  |  1  |  19.0
    super duplex stainless 25crs alloy surplus  |  1  |  23.0
    super 25 chrome material  |  1  |  28.0
    super duplex chemical composition  |  1  |  30.0
    super duplex 2507 datasheet  |  1  |  52.0
    saf 2507 super duplex  |  1  |  74.0
    duplex steel 2205  |  1  |  77.0
    2205 stainless steel  |  1  |  82.0
    ss 2205 material  |  1  |  83.0
    duplex steel 2205 plate  |  1  |  85.0
    2207 duplex stainless steel  |  1  |  90.0
    2205/2507 duplex stainless steel plate  |  1  |  94.0
    2205/2507 stainless steel sheet  |  1  |  97.0
    super duplex stainless steel coil 2507  |  1  |  97.0
    super duplex 2507 mechanical properties  |  1  |  98.0

### Inconel  (31 keywords)
    Target page(s): /inconel-pipe-supplier-india, /inconel-600-pipe-supplier-india, /inconel-718-supplier-india, /blog/inconel-625-guide, /blog/what-is-inconel-alloy
    hastelloy vs inconel  |  53  |  84.42
    inconel vs hastelloy  |  18  |  90.56
    monel vs inconel  |  13  |  52.08
    inconel c276  |  9  |  70.22
    hastelloy vs inconel price  |  6  |  87.0
    inconel c276 pipe  |  5  |  89.8
    inconel hastelloy  |  4  |  88.0
    hastelloy c276 vs inconel 625  |  3  |  53.33
    inconel 625 pipes & tubes in india  |  3  |  66.33
    hastelloy x vs inconel 625  |  3  |  75.33
    inconel 625 pipes & tubes exporters  |  3  |  94.33
    monel inconel  |  2  |  36.5
    inconel vs monel  |  2  |  44.0
    inconel 625  |  2  |  82.5
    inconel 625 applications  |  2  |  88.0
    inconel 625 properties  |  2  |  88.0
    inconel and hastelloy standards  |  2  |  96.5
    inconel nickel alloy  |  1  |  16.0
    monel and inconel  |  1  |  49.0
