Date,Not indexed,Indexed,Impressions
2026-06-09,,,0
2026-06-10,,,0
2026-06-11,,,7
2026-06-12,6,9,13
2026-06-13,5,53,3
2026-06-14,5,53,15
2026-06-15,5,53,9
2026-06-16,5,53,14
2026-06-17,5,53,33
2026-06-18,5,53,24
2026-06-19,5,53,19
2026-06-20,5,53,19
2026-06-21,5,53,17
2026-06-22,5,53,43
2026-06-23,5,53,87
2026-06-24,5,53,66
2026-06-25,5,53,121
2026-06-26,5,53,91
2026-06-27,5,53,80
2026-06-28,5,53,100
2026-06-29,5,53,115
2026-06-30,5,53,113
2026-07-01,5,53,112
2026-07-02,5,53,95
2026-07-03,5,53,65
2026-07-04,5,53,91
2026-07-05,5,53,81
2026-07-06,5,53,140
2026-07-07,5,53,156
2026-07-08,5,53,139
2026-07-09,5,53,141
2026-07-10,5,53,131
2026-07-11,464,57,86
2026-07-12,464,57,100
2026-07-13,464,57,131
2026-07-14,464,57,164
2026-07-15,464,57,139
2026-07-16,464,57,146
2026-07-17,464,57,94
2026-07-18,464,57,76
2026-07-19,464,57,61
2026-07-20,464,57,28
2026-07-21,464,57,13
2026-07-22,464,57,7
2026-07-23,464,57,5
2026-07-24,464,57,8
2026-07-25,539,60,12
2026-07-26,539,60,8
2026-07-27,539,60,12
2026-07-28,539,60,10
2026-07-29,539,60,8
2026-07-30,539,60,6
2026-07-31,539,60,6
2026-08-01,539,60,5
2026-08-02,539,60,16
2026-08-03,539,60,27
2026-08-04,539,60,5
2026-08-05,539,60,11
2026-08-06,539,60,2
2026-08-07,539,60,6
2026-08-08,539,60,6
2026-08-09,539,60,6
2026-08-10,539,60,2
2026-08-11,469,130,9
2026-08-12,469,130,9
2026-08-13,469,130,13
2026-08-14,469,130,10
2026-08-15,193,406,22
2026-08-16,193,406,52
2026-08-17,193,406,87
2026-08-18,192,407,41
2026-08-19,192,407,47
2026-08-20,192,407,48
2026-08-21,192,407,23
2026-08-22,192,406,42
2026-08-23,192,406,35
2026-08-24,192,406,30
2026-08-25,192,406,37
2026-08-26,192,406,17
2026-08-27,192,406,21
2026-08-28,192,406,15
